"","sampleKEY","sampleID","researcher"
"1",19,"TOSA 4-7F","Bailey Lai"
"2",20,"JACS 15-30","Bailey Lai"
"3",21,"TOSA 15-30","Bailey Lai"
"4",22,"TOMR 0-15","Bailey Lai"
"5",23,"TOSA 0-15","Bailey Lai"
"6",24,"TOMR 15-30","Bailey Lai"
"7",25,"JACS 0-15","Dmaia Curry"
"8",26,"FOGL 15-30","Dmaia Curry"
"9",27,"FOGL 0-15","Dmaia Curry"
"10",28,"ARDI 0-15","Dmaia Curry"
"11",29,"TOMR 4-7F","Dmaia Curry"
"12",30,"ARDI 15-30","Dmaia Curry"
"13",37,"TEST","Test"
"14",108,"ARDI 4-7","Alejandro"
"15",112,"LULE 0-15","Kay"
"16",113,"ZAMO2 0-15","Kay"
